run_id,M,N,p,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.0100,1,2,0.01,1,3,0.9856115107913669,0.54296875,1024,ibm_torino,5,3,
batch_M1_N2_p0.1000,1,2,0.1,1,3,0.9736842105263158,0.556640625,1024,ibm_torino,5,3,
batch_M1_N2_p0.2000,1,2,0.2,1,3,0.9808027923211169,0.5595703125,1024,ibm_torino,5,3,
batch_M1_N2_p0.3000,1,2,0.3,1,3,0.9750830564784053,0.587890625,1024,ibm_torino,5,3,
batch_M1_N2_p0.4000,1,2,0.4,1,3,0.964765100671141,0.58203125,1024,ibm_torino,5,3,
batch_M1_N2_p0.5000,1,2,0.5,1,3,0.9844020797227037,0.5634765625,1024,ibm_torino,5,3,
batch_M1_N2_p0.6000,1,2,0.6,1,3,0.9781818181818182,0.537109375,1024,ibm_torino,5,3,
batch_M1_N2_p0.7000,1,2,0.7,1,3,0.5464895635673624,0.5146484375,1024,ibm_torino,6,3,
batch_M1_N2_p0.8000,1,2,0.8,1,3,0.958,0.48828125,1024,ibm_torino,6,3,
batch_M1_N2_p0.9000,1,2,0.9,1,3,0.9582504970178927,0.4912109375,1024,ibm_torino,6,3,
batch_M1_N4_p0.0100,1,4,0.01,2,6,0.9084507042253521,0.5546875,1024,ibm_torino,11,6,
batch_M1_N4_p0.1000,1,4,0.1,2,6,0.8990291262135922,0.5029296875,1024,ibm_torino,11,6,
batch_M1_N4_p0.2000,1,4,0.2,2,6,0.738562091503268,0.298828125,1024,ibm_torino,12,6,
batch_M1_N4_p0.3000,1,4,0.3,2,6,0.7450980392156863,0.298828125,1024,ibm_torino,12,6,
batch_M1_N4_p0.4000,1,4,0.4,2,6,0.9433198380566802,0.482421875,1024,ibm_torino,12,6,
batch_M1_N4_p0.5000,1,4,0.5,2,6,0.9086115992970123,0.5556640625,1024,ibm_torino,12,6,
batch_M1_N4_p0.6000,1,4,0.6,2,6,0.7716262975778547,0.2822265625,1024,ibm_torino,12,6,
batch_M1_N4_p0.7000,1,4,0.7,2,6,0.9277566539923955,0.2568359375,1024,ibm_torino,12,6,
batch_M1_N4_p0.8000,1,4,0.8,2,6,0.7381703470031545,0.3095703125,1024,ibm_torino,12,6,
batch_M1_N4_p0.9000,1,4,0.9,2,6,0.7218934911242604,0.330078125,1024,ibm_torino,12,6,
batch_M1_N8_p0.0100,1,8,0.01,3,11,0.9014084507042254,0.416015625,1024,ibm_torino,23,11,
batch_M1_N8_p0.1000,1,8,0.1,3,11,0.8947368421052632,0.37109375,1024,ibm_torino,23,11,
batch_M1_N8_p0.2000,1,8,0.2,3,11,0.8956521739130435,0.224609375,1024,ibm_torino,24,11,
batch_M1_N8_p0.3000,1,8,0.3,3,11,0.8883495145631068,0.201171875,1024,ibm_torino,24,11,
batch_M1_N8_p0.4000,1,8,0.4,3,11,0.7956989247311828,0.2724609375,1024,ibm_torino,24,11,
batch_M1_N8_p0.5000,1,8,0.5,3,11,0.8174273858921162,0.2353515625,1024,ibm_torino,24,11,
batch_M1_N8_p0.6000,1,8,0.6,3,11,0.7730061349693251,0.1591796875,1024,ibm_torino,24,11,
batch_M1_N8_p0.7000,1,8,0.7,3,11,0.7894736842105263,0.1669921875,1024,ibm_torino,24,11,
batch_M1_N8_p0.8000,1,8,0.8,3,11,0.766497461928934,0.1923828125,1024,ibm_torino,24,11,
batch_M1_N8_p0.9000,1,8,0.9,3,11,0.7801047120418848,0.1865234375,1024,ibm_torino,24,11,
batch_M1_N16_p0.0100,1,16,0.01,4,20,0.8192090395480226,0.1728515625,1024,ibm_torino,47,20,
batch_M1_N16_p0.1000,1,16,0.1,4,20,0.9030612244897959,0.19140625,1024,ibm_torino,48,20,
batch_M1_N16_p0.2000,1,16,0.2,4,20,0.8389261744966443,0.1455078125,1024,ibm_torino,48,20,
batch_M1_N16_p0.3000,1,16,0.3,4,20,0.8307692307692308,0.1904296875,1024,ibm_torino,48,20,
batch_M1_N16_p0.4000,1,16,0.4,4,20,0.8653846153846154,0.1015625,1024,ibm_torino,48,20,
batch_M1_N16_p0.5000,1,16,0.5,4,20,0.7982456140350878,0.111328125,1024,ibm_torino,48,20,
batch_M1_N16_p0.6000,1,16,0.6,4,20,0.8344827586206897,0.1416015625,1024,ibm_torino,48,20,
batch_M1_N16_p0.7000,1,16,0.7,4,20,0.7358490566037735,0.103515625,1024,ibm_torino,48,20,
batch_M1_N16_p0.8000,1,16,0.8,4,20,0.7608695652173914,0.08984375,1024,ibm_torino,48,20,
batch_M1_N16_p0.9000,1,16,0.9,4,20,0.8211382113821138,0.1201171875,1024,ibm_torino,48,20,
batch_M2_N2_p0.0100,2,2,0.01,1,5,0.47418738049713194,0.5107421875,1024,ibm_torino,6,5,
batch_M2_N2_p0.1000,2,2,0.1,1,5,0.3135755258126195,0.5107421875,1024,ibm_torino,7,5,
batch_M2_N2_p0.2000,2,2,0.2,1,5,0.47115384615384615,0.5078125,1024,ibm_torino,7,5,
batch_M2_N2_p0.3000,2,2,0.3,1,5,0.46954813359528486,0.4970703125,1024,ibm_torino,7,5,
batch_M2_N2_p0.4000,2,2,0.4,1,5,0.4763779527559055,0.49609375,1024,ibm_torino,7,5,
batch_M2_N2_p0.5000,2,2,0.5,1,5,0.2587548638132296,0.501953125,1024,ibm_torino,7,5,
batch_M2_N2_p0.6000,2,2,0.6,1,5,0.26996197718631176,0.513671875,1024,ibm_torino,7,5,
batch_M2_N2_p0.7000,2,2,0.7,1,5,0.23062381852551986,0.5166015625,1024,ibm_torino,7,5,
batch_M2_N2_p0.8000,2,2,0.8,1,5,0.3252788104089219,0.525390625,1024,ibm_torino,7,5,
batch_M2_N2_p0.9000,2,2,0.9,1,5,0.2572533849129594,0.5048828125,1024,ibm_torino,7,5,
batch_M2_N4_p0.0100,2,4,0.01,2,10,0.7682926829268293,0.3203125,1024,ibm_torino,14,10,
batch_M2_N4_p0.1000,2,4,0.1,2,10,0.494949494949495,0.2900390625,1024,ibm_torino,15,10,
batch_M2_N4_p0.2000,2,4,0.2,2,10,0.3933333333333333,0.29296875,1024,ibm_torino,15,10,
batch_M2_N4_p0.3000,2,4,0.3,2,10,0.3695652173913043,0.26953125,1024,ibm_torino,15,10,
batch_M2_N4_p0.4000,2,4,0.4,2,10,0.3939393939393939,0.2578125,1024,ibm_torino,15,10,
batch_M2_N4_p0.5000,2,4,0.5,2,10,0.4414715719063545,0.2919921875,1024,ibm_torino,15,10,
batch_M2_N4_p0.6000,2,4,0.6,2,10,0.3607142857142857,0.2734375,1024,ibm_torino,15,10,
batch_M2_N4_p0.7000,2,4,0.7,2,10,0.3286219081272085,0.2763671875,1024,ibm_torino,15,10,
batch_M2_N4_p0.8000,2,4,0.8,2,10,0.2898550724637681,0.26953125,1024,ibm_torino,15,10,
batch_M2_N4_p0.9000,2,4,0.9,2,10,0.26855123674911663,0.2763671875,1024,ibm_torino,15,10,
batch_M2_N8_p0.0100,2,8,0.01,3,19,0.5330188679245284,0.20703125,1024,ibm_torino,30,19,
batch_M2_N8_p0.1000,2,8,0.1,3,19,0.6188679245283019,0.2587890625,1024,ibm_torino,31,19,
batch_M2_N8_p0.2000,2,8,0.2,3,19,0.39779005524861877,0.1767578125,1024,ibm_torino,31,19,
batch_M2_N8_p0.3000,2,8,0.3,3,19,0.42788461538461536,0.203125,1024,ibm_torino,31,19,
batch_M2_N8_p0.4000,2,8,0.4,3,19,0.3772455089820359,0.1630859375,1024,ibm_torino,31,19,
batch_M2_N8_p0.5000,2,8,0.5,3,19,0.3630952380952381,0.1640625,1024,ibm_torino,31,19,
batch_M2_N8_p0.6000,2,8,0.6,3,19,0.3469387755102041,0.1435546875,1024,ibm_torino,31,19,
batch_M2_N8_p0.7000,2,8,0.7,3,19,0.35119047619047616,0.1640625,1024,ibm_torino,31,19,
batch_M2_N8_p0.8000,2,8,0.8,3,19,0.31351351351351353,0.1806640625,1024,ibm_torino,31,19,
batch_M2_N8_p0.9000,2,8,0.9,3,19,0.30597014925373134,0.130859375,1024,ibm_torino,31,19,
batch_M2_N16_p0.0100,2,16,0.01,4,36,0.3564356435643564,0.0986328125,1024,ibm_torino,62,36,
batch_M2_N16_p0.1000,2,16,0.1,4,36,0.36082474226804123,0.0947265625,1024,ibm_torino,63,36,
batch_M2_N16_p0.2000,2,16,0.2,4,36,0.4274193548387097,0.12109375,1024,ibm_torino,63,36,
batch_M2_N16_p0.3000,2,16,0.3,4,36,0.2754491017964072,0.1630859375,1024,ibm_torino,63,36,
batch_M2_N16_p0.4000,2,16,0.4,4,36,0.36065573770491804,0.119140625,1024,ibm_torino,63,36,
batch_M2_N16_p0.5000,2,16,0.5,4,36,0.23577235772357724,0.1201171875,1024,ibm_torino,63,36,
batch_M2_N16_p0.6000,2,16,0.6,4,36,0.36082474226804123,0.0947265625,1024,ibm_torino,63,36,
batch_M2_N16_p0.7000,2,16,0.7,4,36,0.3576158940397351,0.1474609375,1024,ibm_torino,63,36,
batch_M2_N16_p0.8000,2,16,0.8,4,36,0.23157894736842105,0.0927734375,1024,ibm_torino,63,36,
batch_M2_N16_p0.9000,2,16,0.9,4,36,0.36,0.09765625,1024,ibm_torino,63,36,
