noise_type,dimension,N,physical_error_rate,total_swap_operations,total_amplification_iterations,memory_levels_used,theoretical_memory,memory_efficiency,average_amp_iterations_per_swap,protocol_success
depolarizing,2,4,0.3,3,0,2,2,1.0,0.0,True
depolarizing,2,8,0.3,7,0,3,3,1.0,0.0,True
depolarizing,2,16,0.3,15,0,4,4,1.0,0.0,True
depolarizing,2,32,0.3,31,0,5,5,1.0,0.0,True
depolarizing,2,64,0.3,63,0,6,6,1.0,0.0,True
depolarizing,2,128,0.3,127,0,7,7,1.0,0.0,True
depolarizing,2,256,0.3,255,0,8,8,1.0,0.0,True
depolarizing,2,1024,0.3,1023,0,10,10,1.0,0.0,True
depolarizing,3,4,0.3,3,0,2,2,1.0,0.0,True
depolarizing,3,8,0.3,7,0,3,3,1.0,0.0,True
depolarizing,3,16,0.3,15,0,4,4,1.0,0.0,True
depolarizing,3,32,0.3,31,0,5,5,1.0,0.0,True
depolarizing,3,64,0.3,63,0,6,6,1.0,0.0,True
depolarizing,3,128,0.3,127,0,7,7,1.0,0.0,True
depolarizing,3,256,0.3,255,0,8,8,1.0,0.0,True
depolarizing,3,1024,0.3,1023,0,10,10,1.0,0.0,True
depolarizing,4,4,0.3,3,0,2,2,1.0,0.0,True
depolarizing,4,8,0.3,7,0,3,3,1.0,0.0,True
depolarizing,4,16,0.3,15,0,4,4,1.0,0.0,True
depolarizing,4,32,0.3,31,0,5,5,1.0,0.0,True
depolarizing,4,64,0.3,63,0,6,6,1.0,0.0,True
depolarizing,4,128,0.3,127,0,7,7,1.0,0.0,True
depolarizing,4,256,0.3,255,0,8,8,1.0,0.0,True
depolarizing,4,1024,0.3,1023,0,10,10,1.0,0.0,True
depolarizing,5,4,0.3,3,0,2,2,1.0,0.0,True
depolarizing,5,8,0.3,7,0,3,3,1.0,0.0,True
depolarizing,5,16,0.3,15,0,4,4,1.0,0.0,True
depolarizing,5,32,0.3,31,0,5,5,1.0,0.0,True
depolarizing,5,64,0.3,63,0,6,6,1.0,0.0,True
depolarizing,5,128,0.3,127,0,7,7,1.0,0.0,True
depolarizing,5,256,0.3,255,0,8,8,1.0,0.0,True
depolarizing,5,1024,0.3,1023,0,10,10,1.0,0.0,True
symmetric_pauli,2,4,0.3,3,0,2,2,1.0,0.0,True
symmetric_pauli,2,8,0.3,7,0,3,3,1.0,0.0,True
symmetric_pauli,2,16,0.3,15,0,4,4,1.0,0.0,True
symmetric_pauli,2,32,0.3,31,0,5,5,1.0,0.0,True
symmetric_pauli,2,64,0.3,63,0,6,6,1.0,0.0,True
symmetric_pauli,2,128,0.3,127,0,7,7,1.0,0.0,True
symmetric_pauli,2,256,0.3,255,0,8,8,1.0,0.0,True
symmetric_pauli,2,1024,0.3,1023,0,10,10,1.0,0.0,True
pure_dephasing,2,4,0.3,3,0,2,2,1.0,0.0,False
pure_dephasing,2,8,0.3,7,0,3,3,1.0,0.0,False
pure_dephasing,2,16,0.3,15,0,4,4,1.0,0.0,False
pure_dephasing,2,32,0.3,31,0,5,5,1.0,0.0,False
pure_dephasing,2,64,0.3,63,0,6,6,1.0,0.0,False
pure_dephasing,2,128,0.3,127,0,7,7,1.0,0.0,False
pure_dephasing,2,256,0.3,255,0,8,8,1.0,0.0,False
pure_dephasing,2,1024,0.3,1023,0,10,10,1.0,0.0,False
